episode: 18	 steps: 600	 total steps: 34572	 epsilon: 0.67
episode: 18	 steps: 700	 total steps: 34672	 epsilon: 0.67
episode: 18	 steps: 800	 total steps: 34772	 epsilon: 0.67
episode: 18	 steps: 900	 total steps: 34872	 epsilon: 0.66
episode: 18	 steps: 1000	 total steps: 34972	 epsilon: 0.66
episode: 18	 steps: 1100	 total steps: 35072	 epsilon: 0.66
episode: 19	 steps: 100	 total steps: 35192	 epsilon: 0.66
episode: 19	 steps: 200	 total steps: 35292	 epsilon: 0.66
episode: 19	 steps: 300	 total steps: 35392	 epsilon: 0.66
episode: 19	 steps: 400	 total steps: 35492	 epsilon: 0.66
episode: 19	 steps: 500	 total steps: 35592	 epsilon: 0.66
episode: 19	 steps: 600	 total steps: 35692	 epsilon: 0.66
episode: 19	 steps: 700	 total steps: 35792	 epsilon: 0.66
episode: 19	 steps: 800	 total steps: 35892	 epsilon: 0.66
episode: 19	 steps: 900	 total steps: 35992	 epsilon: 0.66
episode: 19	 steps: 1000	 total steps: 36092	 epsilon: 0.66
episode: 19	 steps: 1100	 total steps: 36192	 epsilon: 0.66
episode: 19	 steps: 1200	 total steps: 36292	 epsilon: 0.66
episode: 19	 steps: 1300	 total steps: 36392	 epsilon: 0.66
episode: 19	 steps: 1400	 total steps: 36492	 epsilon: 0.66
episode: 19	 steps: 1500	 total steps: 36592	 epsilon: 0.65
episode: 19	 steps: 1600	 total steps: 36692	 epsilon: 0.65
episode: 19	 steps: 1700	 total steps: 36792	 epsilon: 0.65
episode: 19	 steps: 1800	 total steps: 36892	 epsilon: 0.65
episode: 19	 steps: 1900	 total steps: 36992	 epsilon: 0.65
episode: 19	 steps: 2000	 total steps: 37092	 epsilon: 0.65
episode: 19	 steps: 2100	 total steps: 37192	 epsilon: 0.65
episode: 19	 steps: 2200	 total steps: 37292	 epsilon: 0.65
episode: 19	 steps: 2300	 total steps: 37392	 epsilon: 0.65
episode: 19	 steps: 2400	 total steps: 37492	 epsilon: 0.65
episode: 19	 steps: 2500	 total steps: 37592	 epsilon: 0.65
episode: 19	 steps: 2600	 total steps: 37692	 epsilon: 0.65
episode: 19	 steps: 2700	 total steps: 37792	 epsilon: 0.65
episode: 19	 steps: 2800	 total steps: 37892	 epsilon: 0.65
episode: 19	 steps: 2900	 total steps: 37992	 epsilon: 0.65
episode: 19	 steps: 3000	 total steps: 38092	 epsilon: 0.65
episode: 19	 steps: 3100	 total steps: 38192	 epsilon: 0.65
episode: 19	 steps: 3200	 total steps: 38292	 epsilon: 0.65
episode: 19	 steps: 3300	 total steps: 38392	 epsilon: 0.64
episode: 19	 steps: 3400	 total steps: 38492	 epsilon: 0.64
episode: 19	 steps: 3500	 total steps: 38592	 epsilon: 0.64
episode: 19	 steps: 3600	 total steps: 38692	 epsilon: 0.64
episode: 19	 steps: 3700	 total steps: 38792	 epsilon: 0.64
episode: 19	 steps: 3800	 total steps: 38892	 epsilon: 0.64
episode: 19	 steps: 3900	 total steps: 38992	 epsilon: 0.64
episode: 19	 steps: 4000	 total steps: 39092	 epsilon: 0.64
episode: 19	 steps: 4100	 total steps: 39192	 epsilon: 0.64
episode: 19	 steps: 4200	 total steps: 39292	 epsilon: 0.64
episode: 19	 steps: 4300	 total steps: 39392	 epsilon: 0.64
episode: 19	 steps: 4400	 total steps: 39492	 epsilon: 0.64
episode: 19	 steps: 4500	 total steps: 39592	 epsilon: 0.64
episode: 19	 steps: 4600	 total steps: 39692	 epsilon: 0.64
episode: 19	 steps: 4700	 total steps: 39792	 epsilon: 0.64
episode: 20	 steps: 100	 total steps: 39912	 epsilon: 0.64
episode: 20	 steps: 200	 total steps: 40012	 epsilon: 0.64
episode: 20	 steps: 300	 total steps: 40112	 epsilon: 0.64
episode: 20	 steps: 400	 total steps: 40212	 epsilon: 0.64
episode: 20	 steps: 500	 total steps: 40312	 epsilon: 0.63
episode: 20	 steps: 600	 total steps: 40412	 epsilon: 0.63
episode: 20	 steps: 700	 total steps: 40512	 epsilon: 0.63
episode: 20	 steps: 800	 total steps: 40612	 epsilon: 0.63
episode: 20	 steps: 900	 total steps: 40712	 epsilon: 0.63
episode: 20	 steps: 1000	 total steps: 40812	 epsilon: 0.63
episode: 20	 steps: 1100	 total steps: 40912	 epsilon: 0.63
episode: 20	 steps: 1200	 total steps: 41012	 epsilon: 0.63
episode: 20	 steps: 1300	 total steps: 41112	 epsilon: 0.63
episode: 20	 steps: 1400	 total steps: 41212	 epsilon: 0.63
episode: 20	 steps: 1500	 total steps: 41312	 epsilon: 0.63
episode: 20	 steps: 1600	 total steps: 41412	 epsilon: 0.63
