episode: 261	 steps: 01325	 total steps:708961	 epsilon: 0.01	 average Q: 0.020
episode: 262	 steps: 03761	 total steps:712721	 epsilon: 0.01	 average Q: 0.020
episode: 263	 steps: 06057	 total steps:718777	 epsilon: 0.01	 average Q: 0.020
episode: 264	 steps: 01621	 total steps:720397	 epsilon: 0.01	 average Q: 0.020
episode: 265	 steps: 00521	 total steps:720917	 epsilon: 0.01	 average Q: 0.020
episode: 266	 steps: 02333	 total steps:723249	 epsilon: 0.01	 average Q: 0.020
episode: 267	 steps: 01489	 total steps:724737	 epsilon: 0.01	 average Q: 0.020
episode: 268	 steps: 00941	 total steps:725677	 epsilon: 0.01	 average Q: 0.020
episode: 269	 steps: 02109	 total steps:727785	 epsilon: 0.01	 average Q: 0.020
episode: 270	 steps: 01641	 total steps:729425	 epsilon: 0.01	 average Q: 0.020
episode: 271	 steps: 08709	 total steps:738133	 epsilon: 0.01	 average Q: 0.020
episode: 272	 steps: 04265	 total steps:742397	 epsilon: 0.01	 average Q: 0.020
episode: 273	 steps: 00881	 total steps:743277	 epsilon: 0.01	 average Q: 0.020
episode: 274	 steps: 06897	 total steps:750173	 epsilon: 0.01	 average Q: 0.020
episode: 275	 steps: 02925	 total steps:753097	 epsilon: 0.01	 average Q: 0.020
episode: 276	 steps: 01057	 total steps:754153	 epsilon: 0.01	 average Q: 0.020
episode: 277	 steps: 02265	 total steps:756417	 epsilon: 0.01	 average Q: 0.020
episode: 278	 steps: 10001	 total steps:766417	 epsilon: 0.01	 average Q: 0.020
episode: 279	 steps: 02201	 total steps:768617	 epsilon: 0.01	 average Q: 0.020
episode: 280	 steps: 01273	 total steps:769889	 epsilon: 0.01	 average Q: 0.020
episode: 281	 steps: 02989	 total steps:772877	 epsilon: 0.01	 average Q: 0.020
episode: 282	 steps: 02597	 total steps:775473	 epsilon: 0.01	 average Q: 0.020
episode: 283	 steps: 01021	 total steps:776493	 epsilon: 0.01	 average Q: 0.020
episode: 284	 steps: 04217	 total steps:780709	 epsilon: 0.01	 average Q: 0.020
episode: 285	 steps: 01513	 total steps:782221	 epsilon: 0.01	 average Q: 0.020
episode: 286	 steps: 09309	 total steps:791529	 epsilon: 0.01	 average Q: 0.020
episode: 287	 steps: 03733	 total steps:795261	 epsilon: 0.01	 average Q: 0.020
episode: 288	 steps: 01089	 total steps:796349	 epsilon: 0.01	 average Q: 0.020
episode: 289	 steps: 00765	 total steps:797113	 epsilon: 0.01	 average Q: 0.020
episode: 290	 steps: 01581	 total steps:798693	 epsilon: 0.01	 average Q: 0.020
episode: 291	 steps: 00661	 total steps:799353	 epsilon: 0.01	 average Q: 0.020
episode: 292	 steps: 00373	 total steps:799725	 epsilon: 0.01	 average Q: 0.020
episode: 293	 steps: 00585	 total steps:800309	 epsilon: 0.01	 average Q: 0.020
episode: 294	 steps: 01001	 total steps:801309	 epsilon: 0.01	 average Q: 0.020
episode: 295	 steps: 02617	 total steps:803925	 epsilon: 0.01	 average Q: 0.020
episode: 296	 steps: 02369	 total steps:806293	 epsilon: 0.01	 average Q: 0.020
episode: 297	 steps: 02145	 total steps:808437	 epsilon: 0.01	 average Q: 0.020
episode: 298	 steps: 01529	 total steps:809965	 epsilon: 0.01	 average Q: 0.020
episode: 299	 steps: 00621	 total steps:810585	 epsilon: 0.01	 average Q: 0.020
episode: 300	 steps: 00381	 total steps:810965	 epsilon: 0.01	 average Q: 0.020
Evaluation: 6	 average reward: -2500.0
episode: 301	 steps: 04857	 total steps:815821	 epsilon: 0.01	 average Q: 0.020
episode: 302	 steps: 03621	 total steps:819441	 epsilon: 0.01	 average Q: 0.020
episode: 303	 steps: 01825	 total steps:821265	 epsilon: 0.01	 average Q: 0.020
episode: 304	 steps: 01053	 total steps:822317	 epsilon: 0.01	 average Q: 0.020
episode: 305	 steps: 07337	 total steps:829653	 epsilon: 0.01	 average Q: 0.020
episode: 306	 steps: 04985	 total steps:834637	 epsilon: 0.01	 average Q: 0.020
episode: 307	 steps: 01497	 total steps:836133	 epsilon: 0.01	 average Q: 0.020
episode: 308	 steps: 01785	 total steps:837917	 epsilon: 0.01	 average Q: 0.020
episode: 309	 steps: 05853	 total steps:843769	 epsilon: 0.01	 average Q: 0.020
episode: 310	 steps: 02021	 total steps:845789	 epsilon: 0.01	 average Q: 0.020
episode: 311	 steps: 01249	 total steps:847037	 epsilon: 0.01	 average Q: 0.020
episode: 312	 steps: 00521	 total steps:847557	 epsilon: 0.01	 average Q: 0.020
episode: 313	 steps: 01089	 total steps:848645	 epsilon: 0.01	 average Q: 0.020
episode: 314	 steps: 01113	 total steps:849757	 epsilon: 0.01	 average Q: 0.020
episode: 315	 steps: 00469	 total steps:850225	 epsilon: 0.01	 average Q: 0.020
episode: 316	 steps: 03181	 total steps:853405	 epsilon: 0.01	 average Q: 0.020
episode: 317	 steps: 00713	 total steps:854117	 epsilon: 0.01	 average Q: 0.020
episode: 318	 steps: 05809	 total steps:859925	 epsilon: 0.01	 average Q: 0.020
episode: 319	 steps: 03165	 total steps:863089	 epsilon: 0.01	 average Q: 0.020
episode: 320	 steps: 02329	 total steps:865417	 epsilon: 0.01	 average Q: 0.020
episode: 321	 steps: 01601	 total steps:867017	 epsilon: 0.01	 average Q: 0.020
episode: 322	 steps: 02653	 total steps:869669	 epsilon: 0.01	 average Q: 0.020
